wdatewBTC_Trends_US
0w2022-02-01w88
1w2022-02-02w83
2w2022-02-03w86
3w2022-02-04w91
4w2022-02-05w96
5w2022-02-06w79
6w2022-02-07w100
7w2022-02-08w94
8w2022-02-09w99
9w2022-02-10w90
10w2022-02-11w83
11w2022-02-12w77
12w2022-02-13w70
13w2022-02-14w85
14w2022-02-15w86
15w2022-02-16w81
16w2022-02-17w83
17w2022-02-18w83
18w2022-02-19w74
