datewETH
2022-01-01w22.09
2022-01-02w28.09
2022-01-03w39.69
2022-01-04w38.44
2022-01-05w42.25
2022-01-06w59.29
2022-01-07w53.29
2022-01-08w53.29
2022-01-09w56.25
2022-01-10w51.839999999999996
2022-01-11w53.29
2022-01-12w51.839999999999996
2022-01-13w39.69
2022-01-14w44.89
2022-01-15w40.96
2022-01-16w28.09
2022-01-17w38.44
2022-01-18w34.809999999999995
2022-01-19w64.0
2022-01-20w46.24
2022-01-21w96.03999999999999
2022-01-22w100.0
2022-01-23w50.41
2022-01-24w64.0
2022-01-25w68.89
2022-01-26w59.29
2022-01-27w39.69
2022-01-28w33.64
2022-01-29w34.809999999999995
2022-01-30w33.64
2022-01-31w34.809999999999995
2022-02-01w68.0
2022-02-02w64.02
2022-02-03w46.480000000000004
2022-02-04w54.9
2022-02-05w54.9
2022-02-06w42.660000000000004
2022-02-07w42.660000000000004
2022-02-08w49.879999999999995
2022-02-09w37.0
2022-02-10w45.92
2022-02-11w35.769999999999996
2022-02-12w26.04
2022-02-13w26.04
2022-02-14w25.009999999999998
2022-02-15w39.52
2022-02-16w41.34
2022-02-17w29.7
