,Symbol,Name,Price (Intraday)
0,BTC-USD,Bitcoin USD,"39,211.73"
1,ETH-USD,Ethereum USD,"2,718.82"
2,USDT-USD,Tether USD,1.0005
3,BNB-USD,Binance Coin USD,391.35
4,USDC-USD,USD Coin USD,1.0000
5,XRP-USD,XRP USD,0.799404
6,ADA-USD,Cardano USD,0.967220
7,SOL-USD,Solana USD,94.20
8,HEX-USD,HEX USD,0.159990
9,LUNA1-USD,Terra USD,51.20
10,AVAX-USD,Avalanche USD,81.28
11,DOGE-USD,Dogecoin USD,0.139472
12,BUSD-USD,Binance USD USD,1.0004
13,DOT-USD,Polkadot USD,17.49
14,SHIB-USD,SHIBA INU USD,0.000027
15,UST-USD,TerraUSD USD,1.0018
16,MATIC-USD,Polygon USD,1.5770
17,CRO-USD,Crypto.com Coin USD,0.417162
18,WBTC-USD,Wrapped Bitcoin USD,"39,163.86"
19,DAI-USD,Dai USD,1.0008
20,LTC-USD,Litecoin USD,113.89
21,ATOM-USD,Cosmos USD,26.97
22,LINK-USD,Chainlink USD,15.17
23,TRX-USD,TRON USD,0.063084
24,NEAR-USD,NEAR Protocol USD,9.6966
