datewBTC
2022-01-01w10.24
2022-01-02w9.61
2022-01-03w11.56
2022-01-04w10.89
2022-01-05w18.49
2022-01-06w30.250000000000004
2022-01-07w31.360000000000003
2022-01-08w22.09
2022-01-09w22.09
2022-01-10w26.01
2022-01-11w26.01
2022-01-12w16.0
2022-01-13w12.959999999999999
2022-01-14w10.89
2022-01-15w8.41
2022-01-16w9.0
2022-01-17w9.0
2022-01-18w16.0
2022-01-19w11.56
2022-01-20w11.56
2022-01-21w64.0
2022-01-22w79.21000000000001
2022-01-23w46.24
2022-01-24w100.0
2022-01-25w46.24
2022-01-26w31.360000000000003
2022-01-27w24.009999999999998
2022-01-28w21.16
2022-01-29w16.0
2022-01-30w12.25
2022-01-31w17.64
2022-02-01w37.72
2022-02-02w32.68
2022-02-03w35.6
2022-02-04w37.309999999999995
2022-02-05w39.48
2022-02-06w22.01
2022-02-07w44.0
2022-02-08w44.0
2022-02-09w36.0
2022-02-10w39.48
2022-02-11w34.32
2022-02-12w19.8
2022-02-13w24.42
2022-02-14w28.799999999999997
2022-02-15w29.52
2022-02-16w26.180000000000003
2022-02-17w28.0
